model,seed,oracle,status,escape_rate,rr_rq1,rr_rq2,mutated_none_rate,rr_original,original_none_rate,mean_reward,folder
cnn,47,False,done,0.9833518312985572,0.08239277652370203,0.9853273137697517,0.46429906589576625,0.0,0.06207952680322348,6.368479467258601,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_s47/run_0
cnn,48,False,incomplete,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_s48/run_0
cnn,49,False,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_s49/run_0
cnn,50,False,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_s50/run_0
cnn,51,False,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_s51/run_0
lstm,42,True,done,0.9833518312985572,0.0,0.0,0.016882916956514078,0.0,0.06282370361963506,5.781354051054384,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/adversarial_agent_oracle/run_0
lstm,43,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/agent_oracle_s43/run_0
lstm,44,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/agent_oracle_s44/run_0
lstm,45,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/agent_oracle_s45/run_0
lstm,46,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/agent_oracle_s46/run_0
lstm,47,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/agent_oracle_s47/run_0
lstm,48,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/agent_oracle_s48/run_0
lstm,49,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/agent_oracle_s49/run_0
lstm,50,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/agent_oracle_s50/run_0
lstm,51,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/lstm/10/run_0/agent_oracle_s51/run_0
mlp,42,True,done,0.978912319644839,0.0,0.0,0.017609775134648037,0.0,0.06234196250658298,5.915649278579356,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/adversarial_agent_oracle/run_1
